number|headword|en|ru|tk
2054|必需|essential; indispensable|необходимый; незаменимый|zerur; hökmany gerek
2055|必要|necessary; necessity|необходимый; необходимость|zerur; zerurlyk
2056|便|then; conveniently; relieve oneself|тогда; удобно; справлять нужду|şonda; amatly; täret etmek
2057|变动|change; fluctuation|изменение; меняться|üýtgeşme; üýtgemek
2058|便利|convenient; facilitate|удобный; облегчать|amatly; ýeňilleşdirmek
2059|便利店|convenience store|магазин повседневных товаров|gündelik harytlar dükany
2060|标题|title; headline|заголовок; название|sözbaşy; at
2061|标志|sign; symbol; mark|знак; символ; обозначать|nyşan; alamat; aňlatmak
2062|表达|express; convey|выражать; передавать|beýan etmek; aňlatmak
2063|表面|surface; outward appearance|поверхность; внешняя сторона|üst; daşky görnüş
2064|表明|show; make clear|показывать; свидетельствовать|görkezmek; aýdyň bildirmek
2065|表情|facial expression|выражение лица; мимика|ýüz keşbi; ýüzüň aňlatmasy
2066|别2|part; distinguish; pin on|расставаться; различать; прикалывать|aýrylyşmak; tapawutlandyrmak; iňňe bilen dakmak
2067|饼|flat cake; pancake; pastry|лепёшка; блин; печенье|ýuka çörek; külçe; köke
2068|病房|hospital ward; sickroom|больничная палата|hassahana otagy
2069|病情|condition of an illness|состояние больного; течение болезни|näsagyň ýagdaýy; keseliň gidişi
2070|拨打|dial a phone number; call|набирать номер; звонить|telefon belgisini aýlamak; jaň etmek
2071|玻璃|glass|стекло|aýna
2072|博物馆|museum|музей|muzeý
2073|不利|unfavourable; disadvantageous|неблагоприятный; невыгодный|amatsyz; zyýanly
2074|不幸|unfortunate; misfortune|несчастный; несчастье|betbagt; betbagtlyk
2075|不要紧|it does not matter; not serious|ничего страшного; неважно|zyýany ýok; möhüm däl
2076|补充|supplement; replenish|дополнять; пополнять|üstüni ýetirmek; üstüni doldurmak
2077|不得了|terrible; extremely|страшный; чрезвычайно|elhenç; örän
2078|不符|not match; be inconsistent with|не соответствовать; не совпадать|laýyk gelmezlik; gabat gelmezlik
2079|不良|bad; harmful; defective|плохой; вредный; неисправный|ýaramaz; zyýanly; näsaz
2080|不然|otherwise; not so|иначе; в противном случае; не так|ýogsam; beýle däl
2081|步行|walk; go on foot|идти пешком|pyýada ýöremek
2082|不足|insufficient; shortcoming|недостаточный; недостаток|ýeterlik däl; ýetmezçilik
2083|才2|talent; ability|талант; способности|zehin; ukyp
2084|裁判|referee; judge; arbitrate|судья; судить; арбитраж|emin; eminlik etmek
2085|采访|interview; gather news|брать интервью; собирать новости|söhbetdeşlik geçirmek; habar toplamak
2086|采取|adopt; take measures|принимать; предпринимать меры|ulanmak; çäre görmek
2087|彩色|coloured; multicoloured|цветной; разноцветный|reňkli; köp reňkli
2088|采用|adopt; use|применять; использовать|ulanmak; kabul etmek
2089|参考|consult; use as a reference|справляться; обращаться к источнику|salgylanmak; maglumat üçin peýdalanmak
2090|餐饮|food and drink; catering|питание; общественное питание|iýmit we içgi; naharhana hyzmaty
2091|参与|participate; take part|участвовать|gatnaşmak
2092|藏|hide; store; collect|прятать; хранить; собирать|gizlemek; saklamak; ýygnamak
2093|操作|operate; manipulate|управлять; выполнять операции|dolandyrmak; işlemek
2094|册|volume; copy; book classifier|том; экземпляр; счётное слово для книг|jilt; nusga; kitaplar üçin mukdar sözi
2095|测|measure; test|измерять; проверять|ölçemek; barlamak
2096|测试|test; testing|тестировать; испытание|synag etmek; synag
2097|曾|once; previously|когда-то; прежде|bir wagtlar; öň
2098|曾经|once; formerly|когда-то; прежде|bir wagtlar; ozal
2099|插|insert; stick in|вставлять; втыкать|sokmak; dürtmek
2100|差别|difference; distinction|различие; разница|tapawut
2101|差距|gap; disparity|разрыв; отставание|tapawut; aratapawut
2102|叉子|fork|вилка|çarşak
2103|拆|take apart; tear open; demolish|разбирать; вскрывать; сносить|sökmek; açmak; ýykmak
2104|产|produce; give birth; property|производить; рожать; имущество|öndürmek; dogurmak; emläk
2105|产量|output; yield|объём производства; урожайность|önüm möçberi; hasyl
2106|产品|product; goods|продукция; изделие|önüm; haryt
2107|产业|industry; property|отрасль; промышленность; имущество|pudak; senagat; emläk
2108|长处|strength; strong point|достоинство; сильная сторона|artykmaçlyk; güýçli tarap
2109|长度|length|длина|uzynlyk
2110|长久|lasting; for a long time|длительный; надолго|uzak wagtlyk; uzak wagtlap
2111|长期|long-term|долгосрочный; длительный|uzak möhletli
2112|常识|common sense; general knowledge|здравый смысл; общие знания|sagdyn pikir; umumy bilim
2113|尝试|try; attempt|пробовать; попытка|synanyşmak; synanyşyk
2114|长途|long-distance|дальний; на большое расстояние|uzak aralykly; uzak ýol
2115|长远|long-range; long-term|дальновидный; долгосрочный|uzak geljege degişli; uzak möhletli
2116|场所|place; venue|место; площадка|ýer; geçirilýän ýer
2117|超|exceed; surpass|превышать; превосходить|aşmak; öňe geçmek
2118|超出|exceed; go beyond|выходить за пределы; превышать|çäginden çykmak; aşmak
2119|超级|super; extremely|супер; сверх; чрезвычайно|aşa; örän ýokary
2120|超速|exceed the speed limit|превышать скорость|rugsat edilen tizlikden geçmek
2121|朝|towards; face; dynasty|к; в сторону; династия|tarap; ýüzlenmek; nesilşalyk
2122|吵|noisy; quarrel; disturb|шумный; ссориться; беспокоить|galmagally; dawa etmek; biynjalyk etmek
2123|炒|stir-fry; speculate|жарить, помешивая; спекулировать|gowurmak; alyp-satmak
2124|车祸|traffic accident|дорожная авария|ýol-ulag heläkçiligi
2125|车库|garage|гараж|garaž
2126|车辆|vehicle; vehicles|транспортное средство; транспорт|ulag; ulaglar
2127|车厢|railway carriage; vehicle compartment|вагон; салон; кузов|wagon; ulagyň içi
2128|车主|vehicle owner|владелец автомобиля|ulagyň eýesi
2129|彻底|thorough; completely|основательный; полностью|düýpli; doly
2130|沉|sink; heavy; deep|тонуть; тяжёлый; глубокий|çümmek; agyr; çuň
2131|沉默|silent; silence|молчаливый; молчание|dymmak; ümsümlik
2132|称1|weigh|взвешивать|agramyny çekmek
2133|称2|call; state; praise|называть; заявлять; хвалить|atlandyrmak; aýtmak; öwmek
2134|称为|call; be known as|называть; называться|atlandyrmak; diýlip atlandyrylmak
2135|称赞|praise; commend|хвалить; одобрять|öwmek; makullamak
2136|成本|cost of production|себестоимость; затраты|özüne düşýän gymmat; çykdajy
2137|承担|undertake; bear responsibility|брать на себя; нести ответственность|üstüne almak; jogapkärçilik çekmek
2138|程度|degree; extent; level|степень; мера; уровень|dereje; möçber
2139|成分|ingredient; component; composition|компонент; составная часть; состав|düzüm bölegi; düzüm
2140|成果|result; achievement|результат; достижение|netije; üstünlik
2141|成就|achievement; accomplish|достижение; добиваться|üstünlik; gazanmak
2142|成立|establish; be valid|учреждать; быть обоснованным|döretmek; esasly bolmak
2143|成年1|reach adulthood|достигать совершеннолетия|kämillik ýaşyna ýetmek
2144|城区|urban area; city district|городская территория; район города|şäher meýdany; şäher etraby
2145|成人|adult; grow up|взрослый; становиться взрослым|uly adam; ulalmak
2146|承认|admit; acknowledge; recognise|признавать; сознаваться|ykrar etmek; boýun almak
2147|承受|bear; withstand|выдерживать; переносить|çekmek; döz gelmek
2148|成熟|ripe; mature|спелый; зрелый|bişen; kämil
2149|乘务员|transport attendant|проводник; бортпроводник|ýolagçylara hyzmat edýän işgär
2150|程序|procedure; computer program|порядок; процедура; программа|tertip; amal; kompýuter programmasy
2151|成员|member|член; участник|agza; gatnaşyjy
2152|成长|grow; mature|расти; развиваться|ösmek; kemala gelmek
2153|橙子|orange (fruit)|апельсин|pyrtykal
2154|池|pond; pool|пруд; бассейн|howuz
2155|持续|continue; last|продолжаться; длиться|dowam etmek
2156|尺子|ruler (measuring tool)|линейка|çyzgyç
2157|翅膀|wing|крыло|ganat
2158|冲|rush; rinse; pour boiling water over|мчаться; промывать; заваривать|okdurylmak; ýuwmak; gaýnag suw guýmak
2159|充电|charge a battery|заряжать аккумулятор|batareýany zarýadlandyrmak
2160|充分|sufficient; fully|достаточный; полностью|ýeterlik; doly
2161|充满|be full of; fill|быть полным; наполнять|doly bolmak; doldurmak
2162|充值|top up a balance|пополнять баланс|hasaba pul goşmak
2163|充足|adequate; plentiful|достаточный; обильный|ýeterlik; bol
2164|重复|repeat; duplicate|повторять; дублировать|gaýtalamak; gaýtadan etmek
2165|虫子|insect; bug; worm|насекомое; жук; червяк|mör-möjek; gurçuk
2166|宠物|pet|домашний питомец|öýde saklanýan söýgüli haýwan
2167|抽|draw out; take out; smoke|вытягивать; выделять; курить|çekip çykarmak; bölüp almak; çilim çekmek
2168|丑|ugly; disgraceful|некрасивый; позорный|betgelşik; masgaraçylykly
2169|臭|smelly; stink|вонючий; вонять|porsy; porsamak
2170|初|beginning; first; initial|начало; первый; начальный|başlangyç; ilkinji
2171|出版|publish|издавать; публиковать|neşir etmek
2172|初级|elementary; junior|начальный; младший|başlangyç; pes derejeli
2173|初期|initial stage|начальный период|başlangyç döwür
2174|出色|outstanding; excellent|выдающийся; отличный|ajaýyp; saýlama
2175|出售|sell; offer for sale|продавать; выставлять на продажу|satmak; satuwa çykarmak
2176|出席|attend; be present|присутствовать; участвовать|gatnaşmak; gatnaşmaga gelmek
2177|出自|come from; originate in|происходить из; принадлежать автору|gelip çykmak; degişli bolmak
2178|除夕|Lunar New Year's Eve|канун китайского Нового года|Aý senenamasy boýunça Täze ýylyň öň ýanyndaky agşam
2179|处|get along; deal with; be situated|ладить; обращаться; находиться|oňuşmak; iş salyşmak; ýerleşmek
2180|处理|handle; process; deal with|обрабатывать; решать; разбираться с|işläp bejermek; çözmek; çäre görmek
2181|处于|be in a state or position|находиться в состоянии или положении|ýagdaýda bolmak
2182|处|place; part; office|место; часть; отдел|ýer; bölek; bölüm
2183|传|pass on; spread; transmit|передавать; распространять|geçirmek; ýaýratmak
2184|传播|spread; disseminate|распространять|ýaýratmak
2185|传递|pass on; deliver|передавать; доставлять|geçirmek; ýetirmek
2186|传说|legend; it is said|легенда; рассказывают, что|rowaýat; aýdylmagyna görä
2187|传统|tradition; traditional|традиция; традиционный|däp-dessur; däp bolan
2188|窗台|windowsill|подоконник|penjiräniň tekjesi
2189|床单|bed sheet|простыня|düşek örtügi
2190|创新|innovate; innovation|внедрять новое; инновация|täzelik döretmek; innowasiýa
2191|创业|start a business|начинать своё дело|telekeçilige başlamak
2192|创造|create; produce|создавать; творить|döretmek
2193|创作|create artistic work; creation|создавать произведение; творчество|eser döretmek; döredijilik
2194|词汇|vocabulary; lexicon|словарный запас; лексика|söz baýlygy; leksika
2195|辞职|resign; quit a job|увольняться; уходить в отставку|işden çykmak; wezipesinden çekilmek
2196|此后|after this; thereafter|после этого; впоследствии|mundan soň; soňra
2197|此前|before this; previously|до этого; ранее|mundan öň; ozal
2198|此时|at this moment|в этот момент|şu wagt; şol pursatda
2199|刺激|stimulate; irritate; excitement|стимулировать; раздражать; острые ощущения|höweslendirmek; gyjyndyrmak; tolgunma
2200|从不|never|никогда не|hiç haçan
2201|从而|thus; thereby|тем самым; вследствие этого|şeýlelikde; şonuň netijesinde
2202|从前|formerly; once upon a time|раньше; когда-то|öň; gadym wagtlarda
2203|从事|engage in; work in|заниматься; работать в сфере|meşgullanmak; işlemek
2204|促进|promote; advance|способствовать; содействовать|ýardam etmek; ösdürmek
2205|促使|prompt; cause to act|побуждать; способствовать|itergi bermek; sebäp bolmak
2206|促销|promote sales|стимулировать продажи; акция|satuwy artdyrmak; söwda hödürlemesi
2207|催|urge; hurry someone|торопить; подгонять|gyssamak; howlukdyrmak
2208|存放|store; keep|хранить; оставлять на хранение|saklamak; saklamaga goýmak
2209|存款|deposit money; bank deposit|вносить деньги; банковский вклад|puly goýuma goýmak; bank goýumy
2210|存在|exist; existence|существовать; существование|bar bolmak; barlyk
2211|措施|measure; step taken|мера; мероприятие|çäre
2212|达成|reach an agreement; achieve|достигать; заключать соглашение|gazanmaga ýetmek; ylalaşyk gazanmak
2213|打扮|dress up; appearance|наряжаться; внешний вид|bezenmek; geýniş
2214|打包|pack; take food away|упаковывать; брать еду с собой|gaplamak; nahary ýanyň bilen alyp gitmek
2215|打断|interrupt; break|прерывать; переламывать|sözüni bölmek; döwüp üzmek
2216|打破|break; smash; overcome|разбивать; нарушать; преодолевать|döwmek; bozmak; ýeňip geçmek
2217|打听|ask about; inquire|расспрашивать; разузнавать|soraşdyrmak; habar almak
2218|大胆|bold; daring|смелый; дерзкий|batyrgaý; gaýduwsyz
2219|大多|mostly; the majority|большей частью; большинство|köplenç; aglabasy
2220|大会|general assembly; conference|общее собрание; конференция|umumy ýygnak; maslahat
2221|大力|vigorously; energetically|всеми силами; энергично|uly güýç bilen; güýçli depginde
2222|大妈|auntie; middle-aged or older woman|тётушка; пожилая женщина|daýza; ýaşy uly aýal
2223|大米|rice (uncooked, hulled)|рисовая крупа|tüwi
2224|大脑|brain; cerebrum|головной мозг|beýni
2225|大批|large quantities; large numbers|большая партия; множество|köp mukdarda; köp sanly
2226|大厦|large building; high-rise|большое здание; высотка|uly bina; köp gatly bina
2227|大事|major event; important matter|важное событие; важное дело|uly waka; möhüm iş
2228|大象|elephant|слон|pil
2229|大型|large-scale; large-sized|крупный; крупномасштабный|uly möçberli; iri
2230|大爷|uncle; respectful address for an older man|дядюшка; уважительное обращение к пожилому мужчине|ýaşy uly adama hormat bilen ýüzlenme; daýy
2231|大于|greater than|больше чем|uly bolmak; köp bolmak
2232|大众|the public; the masses|общественность; широкие массы|köpçülik; halk
2233|代|replace; act for; generation; era|заменять; представлять; поколение; эпоха|ýerini tutmak; wekil bolmak; nesil; döwür
2234|代表|represent; representative|представлять; представитель|wekilçilik etmek; wekil
2235|带动|drive; spur; lead along|приводить в движение; стимулировать|herekete getirmek; itergi bermek
2236|代替|replace; take the place of|заменять; вместо|ýerini tutmak; ýerine geçmek
2237|待遇|treatment; pay and benefits|обращение; оплата и условия труда|garaýyş; aýlyk we ýeňillikler
2238|单|single; only; list; form|одиночный; только; список; бланк|ýeke; diňe; sanaw; blank
2239|单独|alone; separately|один; отдельно|ýeke; aýratyn
2240|担任|serve as; hold a position|занимать должность; исполнять обязанности|wezipesini ýerine ýetirmek
2241|单一|single; only one type|единственный; однотипный|ýeke-täk; bir görnüşli
2242|单元|unit; module; building entrance|блок; раздел; подъезд|bölüm; birikme; jaýyň girelgesi
2243|胆小|timid; cowardly|робкий; трусливый|çekinjeň; gorkak
2244|淡|mild; light; weak; bland|слабый; бледный; пресный|gowşak; açyk reňkli; duzsuz
2245|当地|local; the locality|местный; на месте|ýerli; şol ýer
2246|当年|in those days; back then|в те годы; когда-то|şol ýyllarda; bir wagtlar
2247|当前|current; at present|текущий; в настоящее время|häzirki; şu wagt
2248|当中|among; in the middle|среди; посередине|arasynda; ortasynda
2249|挡|block; obstruct; ward off|загораживать; заслонять; отражать|ýoluny beklemek; päsgel bermek; goramak
2250|当|regard as; treat as; pawn|считать за; принимать за; закладывать|hasaplamak; hökmünde görmek; girewine goýmak
2251|当成|regard as; take for|считать за; принимать за|hasaplamak; diýip bilmek
2252|当作|treat as; regard as|рассматривать как; считать|hökmünde görmek; hasaplamak
2253|倒|fall; collapse; fail|падать; рушиться; разоряться|ýykylmak; opurylmak; batmak
2254|导演|direct a film; director|режиссировать; режиссёр|režissýorlyk etmek; režissýor
2255|导致|lead to; cause|приводить к; вызывать|getirmek; sebäp bolmak
2256|到达|arrive; reach|прибывать; достигать|gelip ýetmek
2257|道理|reason; principle; sense|смысл; довод; принцип|many; esas; ýörelge
2258|到期|expire; fall due|истекать; наступать (о сроке)|möhleti gutarmak; wagty gelmek
2259|登|climb; board; publish|подниматься; садиться на транспорт; публиковать|dyrmaşmak; münmek; çap etmek
2260|灯光|lamplight; lighting|свет ламп; освещение|çyranyň ýagtysy; yşyklandyryş
2261|登记|register; record|регистрировать; записывать|hasaba almak; ýazga geçirmek
2262|登录|log in; sign in|входить в систему|ulgama girmek
2263|等待|wait; await|ждать; ожидать|garaşmak
2264|等候|wait for|ожидать|garaşmak
2265|等于|equal; amount to|равняться; быть равносильным|deň bolmak; barabar bolmak
2266|低头|lower one's head; yield|опускать голову; уступать|başyňy egmek; boýun egmek
2267|的确|indeed; really|действительно; в самом деле|hakykatdan; dogrudan
2268|敌人|enemy|враг; противник|duşman
2269|递|hand over; pass|передавать; подавать|uzatmak; bermek
2270|地理|geography|география|geografiýa
2271|地面|ground; surface|земля; поверхность|ýeriň ýüzi; ýer
2272|地区|region; area|район; регион|sebit; etrap
2273|地位|position; status|положение; статус|orun; dereje
2274|地下|underground; below ground|подземный; под землёй|ýerasty; ýeriň aşagy
2275|地震|earthquake; the earth shakes|землетрясение; земля трясётся|ýer titremesi; ýer titremek
2276|点心|snack; pastry|лёгкая закуска; сладкая выпечка|ýeňil iýmit; süýji bişirilen zat
2277|点赞|give a like; praise|ставить лайк; одобрять|halamak belgisine basmak; makullamak
2278|电池|battery|батарейка; аккумулятор|batareýa; akkumulýator
2279|电动|electrically powered|электрический; с электроприводом|elektrik bilen işleýän
2280|电器|electrical appliance|электроприбор|elektrik enjamy
2281|电商|e-commerce; online retailer|электронная торговля; интернет-магазин|elektron söwda; internet dükany
2282|电视台|television station|телестанция; телеканал|teleýaýlym
2283|电子版|electronic edition|электронная версия|elektron görnüş
2284|调1|transfer; dispatch; move|переводить; перебрасывать; перемещать|başga ýere geçirmek; ugratmak
2285|调研|investigate and research|проводить исследование|barlag geçirmek; öwrenmek
2286|定期|regular; at fixed intervals; set a date|регулярный; периодически; назначать срок|yzygiderli; bellenen möhletde; wagt bellemek
2287|丢失|lose; go missing|терять; пропадать|ýitirmek; ýitmek
2288|冻|freeze; feel cold|замерзать; замораживать; мёрзнуть|doňmak; doňdurmak; üşemek
2289|洞|hole; cave|дыра; пещера|deşik; gowak
2290|动画|animation; cartoon|анимация; мультфильм|animasiýa; multfilm
2291|动人|moving; touching|трогательный; волнующий|täsirli; tolgundyryjy
2292|动手|start work; use one's hands; hit|приниматься за дело; делать руками; драться|işe girişmek; el bilen etmek; uruşmak
2293|豆腐|tofu; bean curd|тофу; соевый творог|tofu; soýa doragy
2294|豆浆|soy milk|соевое молоко|soýa süýdi
2295|独立|independent; stand alone|независимый; самостоятельный|garaşsyz; özbaşdak
2296|独特|unique; distinctive|уникальный; своеобразный|özboluşly; üýtgeşik
2297|读音|pronunciation|произношение; чтение|aýdylyş; okalyş
2298|独自|alone; by oneself|в одиночку; самостоятельно|ýeke; özbaşdak
2299|堵|block; congested; wall classifier|загораживать; закупоренный; счётное слово для стен|beklemek; dykylan; diwarlar üçin mukdar sözi
2300|度|degree; extent; spend time|градус; степень; проводить время|gradus; dereje; wagt geçirmek
2301|短处|weakness; shortcoming|недостаток; слабая сторона|kemçilik; gowşak tarap
2302|短期|short-term; short period|краткосрочный; короткий срок|gysga möhletli; gysga wagt
2303|断|break; cut off; stop|ломать; прерывать; прекращать|döwmek; üzmek; kesmek
2304|堆|pile; heap; pile up|куча; груда; складывать в кучу|üýşmek; üýşürmek
2305|对比|compare; contrast|сравнивать; сопоставление|deňeşdirmek; deňeşdirme
2306|对待|treat; approach|относиться; обращаться с|garaýyş bildirmek; çemeleşmek
2307|对手|opponent; rival|противник; соперник|garşydaş; bäsdeş
2308|队伍|team; ranks; procession|команда; отряд; колонна|topar; hatar; goşun bölümi
2309|对象|object; target; partner|объект; адресат; партнёр|obýekt; göz öňünde tutulýan adam; ýanýoldaş
2310|吨|tonne|тонна|tonna
2311|朵|classifier for flowers and clouds|счётное слово для цветов и облаков|güller we bulutlar üçin mukdar sözi
2312|躲|hide; dodge|прятаться; уклоняться|gizlenmek; sypmak
2313|儿女|sons and daughters; children|сыновья и дочери; дети|ogul-gyzlar; çagalar
2314|二手|second-hand; used|подержанный; из вторых рук|ulanylan; ikinji el
2315|二维码|QR code|QR-код|QR kod
2316|发表|publish; express an opinion|публиковать; высказывать|neşir etmek; pikir beýan etmek
2317|发布|release; announce|публиковать; объявлять|ýaýratmak; yglan etmek
2318|发达|developed; prosperous|развитый; процветающий|ösen; gülläp ösýän
2319|发挥|bring into play; make use of|проявлять; использовать|ýüze çykarmak; peýdalanmak
2320|发明|invent; invention|изобретать; изобретение|oýlap tapmak; oýlap tapyş
2321|发起|initiate; launch|начинать; выступать инициатором|başlamak; başlangyç bermek
2322|发言|speak at a meeting; speech|выступать; выступление|çykyş etmek; çykyş
2323|发音|pronounce; pronunciation|произносить; произношение|aýtmak; aýdylyş
2324|罚|punish; penalise|наказывать; штрафовать|jezalandyrmak; jerime salmak
2325|罚款|fine; impose a fine|штраф; штрафовать|jerime; jerime salmak
2326|法院|court of law|суд|kazyýet
2327|翻|turn over;翻 through; translate|переворачивать; листать; переводить|agdarmak; sahypalamak; terjime etmek
2328|番茄|tomato|помидор|pomidor
2329|繁荣|prosper; flourishing|процветать; процветающий|gülläp ösmek; rowaç
2330|反|opposite; oppose; instead|обратный; противиться; наоборот|ters; garşy çykmak; tersine
2331|反而|on the contrary; instead|наоборот; напротив|tersine; gaýtam
2332|反复|repeatedly; repeat; reversal|неоднократно; повторять; перемена|gaýta-gaýta; gaýtalamak; üýtgeme
2333|返回|return; go back|возвращаться|yzyna gaýtmak
2334|反应|react; reaction|реагировать; реакция|jogap gaýtarmak; reaksiýa
2335|反映|reflect; report|отражать; сообщать|şöhlelendirmek; habar bermek
2336|反正|anyway; in any case|всё равно; в любом случае|her niçik-de bolsa; barybir
2337|范围|scope; range|сфера; пределы; диапазон|çäk; gerim
2338|方|square; side; direction|квадратный; сторона; направление|inedördül; tarap; ugur
2339|方案|plan; proposal; scheme|план; проект; вариант решения|meýilnama; teklip
2340|防|guard against; prevent|охранять; предотвращать|goramak; öňüni almak
2341|房屋|house; building|дом; здание|öý; bina
2342|防止|prevent; guard against|предотвращать; не допускать|öňüni almak
2343|仿佛|as if; seemingly|словно; будто|edil; hamala
2344|访问|visit; interview; access|посещать; брать интервью; обращаться к ресурсу|baryp görmek; söhbetdeşlik etmek; girmek
2345|飞行|fly; flight|летать; полёт|uçmak; uçuş
2346|飞行员|pilot|лётчик; пилот|uçarman
2347|非洲|Africa|Африка|Afrika
2348|分别|part; distinguish; separately|расставаться; различать; отдельно|aýrylyşmak; tapawutlandyrmak; aýratynlykda
2349|分布|be distributed; distribution|располагаться; распределение|ýaýramak; ýerleşiş
2350|纷纷|one after another; in great numbers|один за другим; во множестве|yzly-yzyna; köpçülikleýin
2351|分类|classify; categorise|классифицировать; сортировать|toparlara bölmek; toparlamak
2352|分离|separate; part|отделять; разлучаться|aýyrmak; aýrylyşmak
2353|分配|distribute; allocate|распределять; выделять|paýlamak; bölüp bermek
2354|分手|part; break up|расставаться; разрывать отношения|aýrylyşmak
2355|分析|analyse; analysis|анализировать; анализ|seljermek; seljerme
2356|分享|share with others|делиться с другими|paýlaşmak
2357|奋斗|strive; struggle|бороться; усердно трудиться|göreşmek; jan etmek
2358|丰富多彩|rich and varied; colourful|богатый и разнообразный|baý we köpdürli
2359|风格|style; manner|стиль; манера|stil; özboluşlylyk
2360|疯狂|crazy; frenzied|безумный; неистовый|däli; joşgunly
2361|风俗|customs; traditions|обычаи; традиции|däp-dessurlar
2362|风险|risk|риск|töwekgelçilik
2363|否定|negate; deny; negative|отрицать; отрицательный|inkär etmek; inkär edýän
2364|否认|deny; refuse to admit|отрицать; не признавать|inkär etmek; boýun almazlyk
2365|夫妇|husband and wife; married couple|супруги; муж и жена|är-aýal
2366|扶|support with a hand; help up|поддерживать; помогать подняться|söýemek; turmaga kömek etmek
2367|福|good fortune; blessing|счастье; благополучие|bagt; bereket
