number|en|ru|tk
81|to return; time, an occurrence|возвращаться; раз|gaýtmak; gezek
82|can; know how to; will|уметь; мочь; вероятно будет|başarmak; edip bilmek; boljak
83|train|поезд|otly
84|egg, especially a hen's egg|яйцо, обычно куриное|ýumurtga
85|how many; a few|сколько; несколько|näçe; birnäçe
86|home; family; measure word for businesses|дом; семья; счётное слово для предприятий|öý; maşgala; kärhanalar üçin sanaw sözi
87|family members|члены семьи; родные|maşgala agzalary
88|to see; to meet|видеть; встречать|görmek; duşuşmak
89|measure word for clothes or matters|счётное слово для одежды и дел|eşikler we işler üçin sanaw sözi
90|dumplings; jiaozi|цзяоцзы; китайские пельмени|jiaozi; hytaý böregi
91|to be called; to call out|называться; звать; кричать|ady bolmak; çagyrmak; gygyrmak
92|older sister|старшая сестра|uýa
93|this year|в этом году|şu ýyl
94|today|сегодня|şu gün; bu gün
95|nine|девять|dokuz
96|to think; to feel|считать; чувствовать|hasaplamak; duýmak
97|to open; to start; to drive|открывать; включать; водить|açmak; işletmek; sürmek
98|to drive a car|водить машину|awtoulag sürmek
99|to look; to watch; to read|смотреть; читать|seretmek; görmek; okamak
100|to see a doctor; to treat a patient|идти к врачу; принимать пациента|lukmana görünmek; näsagy bejermek
101|to see; to catch sight of|увидеть; заметить|görmek; gözüň düşmek
102|can; may; acceptable|можно; мочь; приемлемый|edip bilmek; rugsat bolmak; bolar ýaly
103|lesson; class; course|урок; занятие; курс|sapak; okuw
104|mouth; measure word for family members or mouthfuls|рот; счётное слово для членов семьи или глотков|agyz; maşgala agzalary ýa-da owurtlar üçin sanaw sözi
105|piece; yuan, colloquial|кусок; юань, разговорное|bölek; ýuan, gepleşikde
106|to come|приходить; приезжать|gelmek
107|teacher|учитель; преподаватель|mugallym
108|particle marking completion or a change of situation|частица завершённости или изменения ситуации|tamamlanmagy ýa-da ýagdaýyň üýtgemegini bildirýän kömekçi söz
109|cold|холодный; холодно|sowuk
110|inside; in|внутри; в|iç; içinde
111|two, commonly before a measure word|два, обычно перед счётным словом|iki, köplenç sanaw sözünden öň
112|zero|ноль|nol
113|six|шесть|alty
114|mum; mother|мама; мать|eje
115|question particle for yes-no questions|частица общего вопроса|hawa ýa-da ýok jogaply soragyň kömekçi sözi
116|to buy|покупать|satyn almak
117|to sell|продавать|satmak
118|busy; to be busy|занятой; быть занятым|işli; işi köp bolmak
119|cat|кошка|pişik
120|it does not matter; no problem|ничего страшного; неважно|zyýany ýok; mesele ýok
121|nothing is wrong; to have nothing to do|всё в порядке; не иметь дел|bir zat bolanok; işi bolmazlyk
122|not have; there is not; did not|не иметь; нет; не совершал действие|ýok; bolmazlyk; etmedik
123|younger sister|младшая сестра|gyz jigi; kiçi uýa
124|plural suffix, chiefly for people|суффикс множественного числа, обычно для людей|köplenç adamlary bildirýän köplük goşulmasy
125|cooked rice|варёный рис|bişirilen tüwi
126|bread|хлеб|çörek
127|noodles|лапша|unaş; erişte
128|next year|в следующем году|geljek ýyl
129|tomorrow|завтра|ertir
130|name|имя; название|at
131|which|какой; который|haýsy
132|which one|который из них|haýsysy
133|where|где; куда|nirede; nirä
134|where, colloquial|где; куда, разговорное|nirede; nirä, gepleşikde
135|which ones|какие из них|haýsylary
136|that; then; in that case|тот; тогда; в таком случае|şol; onda
137|that side; over there|та сторона; там|ol tarap; o taýda
138|that one|тот; тот предмет|şol; o zat
139|there; that place|там; то место|şol ýerde; ol ýer
140|there, colloquial|там; туда, разговорное|o taýda; o ýere, gepleşikde
141|those|те|şolar
142|male; man|мужской; мужчина|erkek
143|boyfriend|парень, возлюбленный|oglan dost; söýgüli ýigit
144|particle for a follow-up question or an ongoing state|частица встречного вопроса или продолжающегося состояния|garşylyklaýyn sorag ýa-da dowam edýän ýagdaý üçin kömekçi söz
145|can; be able to|мочь; быть способным|edip bilmek; başarmak
146|you, singular|ты|sen
147|hello|здравствуй; здравствуйте|salam
148|you, plural|вы, несколько человек|siz
149|year|год|ýyl
150|you, polite singular|Вы, вежливое обращение|Siz, bir adama hormat bilen ýüzlenme
151|milk|молоко|süýt
152|female; woman|женский; женщина|aýal; zenan
153|daughter|дочь|gyz perzent
154|girlfriend|девушка, возлюбленная|gyz dost; söýgüli gyz
155|lady; Ms|госпожа; дама|hanym; zenan
156|friend|друг|dost
157|cheap; inexpensive|дешёвый; недорогой|arzan
158|beautiful; pretty|красивый|owadan
159|apple|яблоко|alma
160|seven|семь|ýedi
161|to get up, out of bed|вставать с постели|ukudan turmak
162|thousand|тысяча|müň
163|front; before|перед; до|öň; öňünde
164|money|деньги|pul
165|please; to invite; to request|пожалуйста; приглашать; просить|haýyş etmek; çagyrmak; baş üstüne
166|excuse me, may I ask|скажите, пожалуйста; разрешите спросить|bagyşlaň, sorap bilerinmi
167|to go|идти; ехать|gitmek; barmak
168|last year|в прошлом году|geçen ýyl
169|hot|горячий; жаркий|yssy; gyzgyn
170|person; people|человек; люди|adam; adamlar
171|to know a person; to recognise|быть знакомым; узнавать|tanamak
172|day; date|день; число месяца|gün; sene
173|three|три|üç
174|shop; store|магазин|dükan
175|up; on; previous; to go up|верх; на; предыдущий; подниматься|ýokary; üstünde; öňki; ýokary çykmak
176|to go to work; to be at work|идти на работу; работать|işe gitmek; işde bolmak
177|to attend or teach a class|идти на урок; проводить занятие|sapaga gatnaşmak; sapak bermek
178|morning, before noon|утро; до полудня|günortadan öň
179|to go to school|ходить в школу; учиться|mekdebe gitmek; okamak
180|few; little; less|мало; меньше|az; azrak
181|who|кто|kim
182|what|что; какой|näme; nähili
183|to fall ill; to be ill|заболеть; болеть|kesellemek
184|ten|десять|on
185|time; moment; when|время; момент; когда|wagt; mahal
186|time; duration|время; промежуток времени|wagt; dowamlylyk
187|matter; thing to do; affair|дело; событие|iş; waka
188|to be; yes|быть; являться; да|bolmak; hawa
189|mobile phone|мобильный телефон|el telefony
190|book|книга|kitap
191|bookshop|книжный магазин|kitap dükany
192|water|вода|suw
193|fruit|фрукты|miwe
194|to sleep|спать|uklamak
195|to sleep; to go to bed|спать; ложиться спать|uklamak; ýatmak
196|to say; to speak|говорить; сказать|diýmek; aýtmak
197|to speak; to talk|разговаривать; говорить|geplemek; gürleşmek
198|four|четыре|dört
199|year of age|год возраста; лет|ýaş
200|he; him|он; его|ol, erkek adam barada
201|it|оно; он или она о предмете или животном|ol, zat ýa-da haýwan barada
202|she; her|она; её|ol, aýal adam barada
203|they, male or mixed group|они, мужчины или смешанная группа|olar, erkekler ýa-da garyşyk topar
204|they, things or animals|они, предметы или животные|olar, zatlar ýa-da haýwanlar
205|they, female group|они, женщины|olar, aýallar
206|too; extremely|слишком; очень|gaty; aşa
207|day; sky|день; небо|gün; asman
208|weather|погода|howa
209|to listen; to hear|слушать; слышать|diňlemek; eşitmek
210|to hear, successfully|услышать|eşitmek
211|classmate; fellow student|одноклассник; соученик|synpdaş; okuwdaş
212|outside; external|снаружи; внешний|daş; daşky
213|outside|снаружи; на улице|daşarda
214|to play; to have fun|играть; развлекаться|oýnamak; hezil etmek
215|late|поздний; поздно|giç
216|dinner; evening meal|ужин|agşamlyk nahary
217|evening; night|вечер; ночь|agşam; gije
218|hello, on the telephone; hey|алло; эй|alo; eý
219|to ask|спрашивать|soramak
220|question; problem|вопрос; проблема|sorag; mesele
221|I; me|я; меня|men
222|we; us|мы; нас|biz
223|five|пять|bäş
224|lunch|обед|günortanlyk nahary
225|to like|нравиться; любить что-либо|halamak; gowy görmek
226|down; under; next; to go down|низ; под; следующий; спускаться|aşak; astynda; indiki; aşak düşmek
227|to rain|идти о дожде|ýagyş ýagmak
228|to finish work for the day|заканчивать рабочий день; уходить с работы|işden çykmak; iş gününi tamamlamak
229|to finish a class|заканчивать урок|sapagy tamamlamak
230|afternoon|вторая половина дня; после полудня|öýlän
231|Mr; gentleman|господин; мужчина|jenap
232|now|сейчас|häzir
233|to want; to think; to miss someone|хотеть; думать; скучать по кому-либо|islemek; pikir etmek; küýsemek
234|small; little|маленький; небольшой|kiçi
235|child; little friend|ребёнок; маленький друг|çaga; kiçijik dost
236|hour, a unit of time|час, единица времени|sagat, wagt birligi
237|primary school|начальная школа|başlangyç mekdep
238|primary-school pupil|ученик начальной школы|başlangyç mekdebiň okuwçysy
239|some; a few|некоторое количество; несколько|birnäçe; käbir
240|to write|писать|ýazmak
241|thank you; to thank|спасибо; благодарить|sag boluň; minnetdarlyk bildirmek
242|new|новый|täze
243|week|неделя|hepde
244|Sunday|воскресенье|ýekşenbe
245|Sunday, colloquial|воскресенье, разговорное|ýekşenbe, gepleşikde
246|to rest; to take a break|отдыхать; делать перерыв|dynç almak
247|to learn; to study|учить; учиться|öwrenmek; okamak
248|student; pupil|учащийся; ученик; студент|okuwçy; talyp
249|to study; to learn|учиться; изучать|okamak; öwrenmek
250|school|школа; учебное заведение|mekdep; okuw mekdebi
251|snow|снег|gar
252|to want; to need; going to|хотеть; нужно; собираться|islemek; gerek bolmak; etjek bolmak
253|also; too|тоже; также|hem
254|one|один|bir
255|clothes|одежда|eşik
256|doctor|врач|lukman
257|hospital|больница|hassahana
258|one half|половина|ýarysy
259|once; for a moment|один раз; немного, недолго|bir gezek; az wagt
260|chair|стул|oturgyç
261|a little; a bit|немного; чуть-чуть|azajyk
262|some; a number of|немного; некоторое количество|birnäçe; käbir
263|to have; there is|иметь; есть, имеется|bar bolmak
264|some, of a group|некоторые из группы|käbiri
265|a little; somewhat, often undesirable|немного; слегка, часто о нежелательном|biraz, köplenç islenmeýän ýagdaý barada
266|some; somewhat|некоторые; немного|käbir; biraz
267|rain|дождь|ýagyş
268|yuan, a unit of currency|юань, денежная единица|ýuan, pul birligi
269|month; moon|месяц; луна|aý
270|again; then, after that|снова; затем|ýene; soňra
271|at; in; to be present; action in progress|в; на; находиться; показатель действия в процессе|içinde; üstünde; bolmak; dowam edýän hereketiň görkezijisi
272|goodbye; see you again|до свидания|sag boluň; görüşýänçäk
273|early; morning greeting|рано; ранний; доброе утро|ir; ertiriňiz haýyrly bolsun
274|breakfast|завтрак|ertirlik nahary
275|morning|утро; утром|irden; ertir wagty
276|how; why|как; почему|nädip; näme üçin
277|how; what is it like|как; какой; как насчёт|nähili; nähili bolýar
278|to look for; to find|искать; находить|gözlemek; tapmak
279|this|этот|bu
280|this side; over here|эта сторона; здесь|bu tarap; bärde
281|this one|этот; этот предмет|bu; şu zat
282|here; this place|здесь; это место|bu ýerde; şu ýer
283|here, colloquial|здесь; сюда, разговорное|bärde; bärik, gepleşikde
284|these|эти|bular
285|really; real|действительно; настоящий|hakykatdan; hakyky
286|in the process of; currently|в данный момент; показатель действия в процессе|häzir hereketiň dowam edýändigini bildirýär
287|measure word for many animals and single items of a pair|счётное слово для многих животных и одного предмета из пары|köp haýwanlar we jübüt zatlaryň biri üçin sanaw sözi
288|to know|знать|bilmek
289|China|Китай|Hytaý
290|Chinese language; written Chinese|китайский язык; китайская письменность|hytaý dili; hytaý ýazuwy
291|noon; midday|полдень|günortan
292|secondary school|средняя школа|orta mekdep
293|secondary-school pupil|ученик средней школы|orta mekdebiň okuwçysy
294|to live; to stay|жить; останавливаться|ýaşamak; galmak
295|table; desk|стол; письменный стол|stol
296|written character|письменный знак; иероглиф|ýazuw nyşany
297|yesterday|вчера|düýn
298|to sit; to take transport|сидеть; ехать на транспорте|oturmak; ulagda gitmek
299|to do; to make|делать; изготавливать|etmek; ýasamak
300|to cook a meal|готовить еду|nahar bişirmek
301|sentence particle expressing emotion or emphasis|конечная частица эмоции или усиления|duýgyny ýa-da nygtamagy bildirýän kömekçi söz
302|hobby; to be fond of|увлечение; увлекаться|höwes; halaýan pişe; höwes etmek
303|white, the colour|белый цвет|ak reňk
304|class; group; shift|класс; группа; смена|synp; topar; nobat
305|to help|помогать|kömek etmek
306|to help out; to lend a hand|помогать; оказывать помощь|kömek bermek
307|bag; packet; to wrap|сумка; пакет; заворачивать|sumka; bukja; dolamak
308|notebook; exercise book|тетрадь; блокнот|depder
309|to compare; than|сравнивать; чем в сравнении|deňeşdirmek; deňeşdirme görkezijisi
310|pen; writing instrument|ручка; письменная принадлежность|ruçka; ýazuw guraly
311|do not, in a prohibition|не надо; не делай|etme; etmäň
312|not bad; good|неплохой; хороший|erbet däl; gowy
313|sorry; to feel embarrassed|извините; чувствовать неловкость|bagyşlaň; utanmak
314|long; length|длинный; длина|uzyn; uzynlyk
315|station; bus stop|станция; остановка|menzil; duralga
316|to go out; to come out|выходить; появляться|çykmak
317|to go abroad|ехать за границу|daşary ýurda gitmek
318|to come out, towards the speaker|выходить сюда, к говорящему|daşary çykyp gelmek
319|to leave home; to go out|выходить из дома|öýden çykmak
320|to go out, away from the speaker|выходить наружу, от говорящего|daşary çykyp gitmek
321|bed|кровать|düşek; krowat
322|word; expression|слово; выражение|söz; aňlatma
323|time, an occurrence|раз, счётное слово|gezek
324|from; since|из; от; с какого-либо времени|bir ýerden; bäri
325|since childhood|с детства|çagalykdan bäri
326|wrong; mistaken|неправильный; ошибочный|nädogry; ýalňyş
327|to hit; to play a ball sport|бить; играть в игру с мячом|urmak; top oýnamak
328|to take a taxi|ехать на такси|taksi tutmak; takside gitmek
329|to open; to turn on|открывать; включать|açmak; işletmek
330|but|но; однако|ýöne; emma
331|but; however|но; однако|emma; ýöne
332|particle introducing a complement after a verb|частица перед дополнением степени или результата после глагола|işlikden soň derejäni ýa-da netijäni düşündirýän kömekçi söz
333|particle linking an adverbial to a verb|частица между обстоятельством и глаголом|haly işlige baglaýan kömekçi söz
334|to wait|ждать|garaşmak
335|underground; metro|метро|metro
336|to point; to order food; to dot|указывать; заказывать еду; ставить точку|görkezmek; nahar sargamak; nokat goýmak
337|to understand|понимать|düşünmek
338|to move; to act|двигаться; действовать|hereket etmek; gymyldamak
339|restaurant; eatery|кафе; ресторан|naharhana; restoran
340|to fly|летать|uçmak
341|high; tall; height|высокий; высота|beýik; uzyn boýly; beýiklik
342|senior high school|старшая средняя школа|orta mekdebiň ýokary basgançagy
343|to tell; to inform|сообщать; говорить кому-либо|aýtmak; habar bermek
344|height; build, of a person|рост; телосложение|boý; göwre
345|with; to follow|с; следовать за|bilen; yzyna düşmek
346|city bus|городской автобус|şäher awtobusy
347|to pass; to cross; to spend time|проходить; пересекать; проводить время|geçmek; wagt geçirmek
348|to come over; to come here|подходить сюда; приходить|bärik gelmek
349|to celebrate the New Year|встречать Новый год|Täze ýyly bellemek
350|to go over; to go there|переходить туда; направляться туда|ol ýere gitmek; geçip gitmek
351|particle marking past experience|частица когда-либо пережитого опыта|öň başdan geçirilen tejribäni bildirýän kömekçi söz
352|or, in a question; still|или в вопросе; всё ещё|ýa-da, soragda; henizem
353|black, the colour|чёрный цвет|gara reňk
354|black tea|чёрный чай|gara çaý
355|red, the colour|красный цвет|gyzyl reňk
356|behind; the back|сзади; позади; задняя часть|yzda; yz tarapy
357|to spend money or time|тратить деньги или время|pul ýa-da wagt harçlamak
358|flower; floral|цветок; цветочный|gül; gülli
359|to draw; painting; picture|рисовать; картина; рисунок|surat çekmek; surat
360|bad; broken; spoiled|плохой; сломанный; испорченный|erbet; döwük; zaýa
361|to come back|возвращаться сюда|gaýdyp gelmek
362|to go back|возвращаться туда|yzyna gitmek
363|airport|аэропорт|aeroport
364|airline ticket|авиабилет|uçar petegi
365|to remember|помнить|ýatlamak; ýadynda bolmak
366|measure word for rooms|счётное слово для комнат|otaglar üçin sanaw sözi
367|to teach|учить; преподавать|öwretmek; sapak bermek
368|classroom|классная комната; аудитория|synp otagy
369|to introduce; introduction|представлять; знакомить; представление|tanyşdyrmak; tanyşdyryş
370|to enter; to go in|входить|girmek
371|near; close|близкий; рядом|ýakyn; golaý
372|to come in|входить сюда|içeri girmek; girip gelmek
373|to go in|входить туда|içeri girip gitmek
374|often; regularly|часто; регулярно|ýygy-ýygydan; yzygiderli
375|hotel|гостиница; отель|myhmanhana
376|then; just; already, emphasis|тогда; именно; уже, с усилением|onda; hut; eýýäm, nygtama bilen
377|coffee|кофе|kofe
378|to begin; beginning|начинать; начало|başlamak; başlangyç
379|to start a school term|начинать учебный семестр|okuw möwsüminiň başlanmagy
380|to take or give a test|сдавать экзамен; экзаменовать|synag tabşyrmak; synag etmek
381|examination; to take an exam|экзамен; сдавать экзамен|synag; synag tabşyrmak
382|possible; possibly; possibility|возможный; возможно; возможность|mümkin; ähtimal; mümkinçilik
383|trousers|брюки; штаны|balak
384|fast; soon|быстрый; скоро|çalt; tiz
385|happy; joyful|радостный; счастливый|şat; bagtly
386|about to; soon will|скоро; вот-вот|basym; häzir boljak
387|basketball|баскетбол|basketbol
388|tired; to tire|уставший; утомлять|ýadaw; ýadatmak
389|to leave; to be distant from|покидать; находиться на расстоянии от|aýrylmak; uzaklykda bolmak
390|inside; the interior|внутри; внутренняя часть|içinde; iç tarapy
391|building; floor of a building|здание; этаж|bina; gat
392|road; route|дорога; путь; маршрут|ýol; ugur
393|on the way; on the road|по дороге; на пути|ýolda
394|to travel; tourism|путешествовать; туризм|syýahat etmek; syýahatçylyk
395|green tea|зелёный чай|gök çaý
396|green, the colour; environmentally friendly|зелёный цвет; экологичный|ýaşyl reňk; daşky gurşawa zyýansyz
397|slow|медленный|haýal
398|boring; not interesting|скучный; неинтересный|gyzyksyz
399|every; each|каждый|her
400|door; entrance|дверь; вход|gapy; girelge
401|doorway; entrance|у двери; вход|gapynyň öňi; girelge
402|admission ticket|входной билет|giriş petegi
403|suffix in words for position; side; surface|суффикс слов местоположения; сторона; поверхность|ýer bildirýän sözleriň goşulmasy; tarap; ýüz
404|name; measure word for people|имя; счётное слово для людей|at; adamlar üçin sanaw sözi
405|to take; to hold; to carry|брать; держать; нести|almak; tutmak; götermek
406|so; that much; in that case|так; настолько; в таком случае|şeýle; şonça; onda
407|like that; that way|такой; таким образом|şeýle; şol hili
408|milk tea|чай с молоком|süýtli çaý
409|paternal grandmother|бабушка по отцу|ene, kakanyň ejesi
410|boy|мальчик|oglanjyk
411|bird|птица|guş
412|girl|девочка|gyzjagaz
413|beside; next to|рядом; сбоку|ýanynda
414|to run|бежать|ylgamak
415|to run; to jog|бегать; заниматься бегом|ylgamak; ylgaw bilen meşgullanmak
416|ticket|билет|petek; bilet
417|wife|жена|aýal; ýanýoldaş aýal
418|to get up; to rise; to start doing|вставать; подниматься; начинать действие|turmak; ýokary galmak; edip başlamak
419|in front; ahead|спереди; впереди|öňde; öň tarapy
420|sunny; clear, of weather|ясный; солнечный о погоде|açyk; güneşli howa
421|ball|мяч; шар|top
422|to let; to ask someone to; to yield|позволять; просить сделать; уступать|rugsat bermek; etdirmegi soramak; ýol bermek
423|meat|мясо|et
424|shopping centre; department store|торговый центр; универмаг|söwda merkezi; uly dükan
425|to come up|подниматься сюда|ýokary çykyp gelmek
426|above; on top|сверху; наверху|ýokarda; üstünde
427|to go up|подниматься туда|ýokary çykyp gitmek
428|to go online; to use the internet|выходить в интернет|internete girmek
429|body; health|тело; здоровье|beden; saglyk
430|birthday|день рождения|doglan gün
431|time; hour; when|время; час; когда|wagt; sagat; mahal
432|matter; affair; thing to do|дело; событие|iş; waka
433|hand|рука; кисть руки|el
434|watch; wristwatch|наручные часы|el sagady
435|schoolbag|школьный портфель; рюкзак|mekdep sumkasy
436|comfortable; feeling well|удобный; чувствовать себя хорошо|oňaýly; özüni gowy duýýan
437|to give as a gift; to deliver; to see someone off|дарить; доставлять; провожать|sowgat bermek; eltip bermek; ugratmak
438|although|хотя; несмотря на то что|... bolsa-da
439|so; therefore|поэтому|şonuň üçin
440|to hurt; painful|болеть; больно|agyrmak; agyryly
441|to kick|пинать; бить ногой|depip urmak
442|question; exercise; topic|вопрос; задание; тема|sorag; ýumuş; mowzuk
443|measure word for long narrow things, fish and trousers|счётное слово для длинных предметов, рыб и брюк|uzyn inçe zatlar, balyklar we balaklar üçin sanaw sözi
444|to dance|танцевать|tans etmek
445|head|голова|kelle; baş
446|foreign country; abroad|иностранное государство; заграница|daşary ýurt
447|outside; the exterior|снаружи; внешняя часть|daşarda; daş tarapy
448|to finish; to complete|заканчивать; завершать|gutarmak; tamamlamak
449|ten thousand|десять тысяч|on müň
450|towards; to go towards|по направлению к; направляться|tarapa; tarap gitmek
451|online; on the internet|в интернете; онлайн|internetde; onlaýn
452|to forget|забывать|ýatdan çykarmak
453|polite measure word for people|вежливое счётное слово для людей|adamlar üçin hormat bildirýän sanaw sözi
454|why|почему; зачем|näme üçin
455|to hope; hope|надеяться; надежда|umyt etmek; umyt
456|to wash|мыть; стирать|ýuwmak
457|toilet; washroom|туалет; уборная|hajathana
458|to come down|спускаться сюда|aşak düşüp gelmek
459|below; underneath|внизу; под|aşakda; astynda
460|to go down; to continue doing|спускаться туда; продолжать действие|aşak düşüp gitmek; dowam etmek
461|child|ребёнок|çaga
462|childhood; when young|детство; в детстве|çagalyk; çagalykda
463|to smile; to laugh|улыбаться; смеяться|ýylgyrmak; gülmek
464|surname; to have a surname|фамилия; иметь фамилию|familiýa; familiýasy bolmak
465|full name|фамилия и имя|doly ady we familiýasy
466|colour|цвет|reňk
467|eye; eyes|глаз; глаза|göz; gözler
468|medicine; drug|лекарство|derman
469|pharmacy|аптека|dermanhana
470|paternal grandfather|дедушка по отцу|ata, kakanyň kakasy
471|a little while; in a moment|немного времени; через минуту|biraz wagt; birazdan
472|already|уже|eýýäm
473|together|вместе|bile; bilelikde
474|meaning; idea|значение; смысл; мысль|many; pikir
475|overcast; cloudy|пасмурный|bulutly; tutuk
476|because; because of|потому что; из-за|sebäbi; sebäpli
477|to swim; to travel around|плавать; путешествовать|ýüzmek; gezmek
478|to swim; swimming|плавать; плавание|ýüzmek; suwda ýüzmek
479|interesting; meaningful|интересный; осмысленный|gyzykly; manyly
480|sometimes|иногда|käwagt
481|right, the side|правый; правая сторона|sag; sag tarap
482|right-hand side|справа; правая сторона|sag tarapda
483|fish|рыба|balyk
484|far; distant|далёкий; далеко|uzak
485|exercise; sport; movement|физические упражнения; спорт; движение|maşk; sport; hereket
486|station; stop|станция; остановка|menzil; duralga
487|husband|муж|är; ýanýoldaş erkek
488|so; this much; in this way|так; настолько; таким образом|beýle; şunça; şunuň ýaly
489|like this; this way|такой; таким образом|şeýle; şu hili
490|particle marking a continuing action or state|частица продолжающегося действия или состояния|dowam edýän hereketi ýa-da ýagdaýy bildirýän kömekçi söz
491|just; right at; in the process of|как раз; именно сейчас; в процессе|hut; edil häzir; dowam edýän
492|week|неделя|hepde
493|to prepare; to plan|готовить; готовиться; планировать|taýýarlamak; taýýarlanmak; meýilleşdirmek
494|oneself; own|сам; себя; собственный|özi; öz
495|to walk; to leave|идти пешком; уходить|ýöremek; gitmek
496|to walk|ходить пешком|pyýada ýöremek
497|football; soccer|футбол|futbol
498|most; -est, superlative|самый; наиболее|iň
499|left, the side|левый; левая сторона|çep; çep tarap
500|left-hand side|слева; левая сторона|çep tarapda
